,Description,Services,Label
36,I need a new website. I need you to website design and build it. A cryptocurrency exchange!! Please send me prof of work !!,Python,Low
37,I need ruby Rails. I need you to design and build it. A cryptocurrency exchange!! Please send me prof of work !!,Rails,High
38,I want to develop website. I need you to design and build it. Please send me prof of work !!,Angular,Low
39,"I need a new website. I already have a design, I just need you to build it. I’m looking to hire a developer that can work with Django CMS. They also need to be able to work with other developers during this project.",ReactJs,Low
40,The project is in the trading sphere and we need someone to do admin. The design is ready.,Vue,Low
41,The project TypeScript  is in the trading sphere and we need someone to do admin. The design is ready.,TypeScript,High
42,I want a wordpress developer who can build a vibrant website and have hands-on experience on WPF theme,WPF,High
43,I need some one who have good knowledge into HTML 5 with customise skills using php.,HTML 5,High
44,I need some one who have good knowledge into AWS with customise skills using php.,AWS,High
45,I want to develop cloud for my business app.,Google Cloud,Low
46,"I have a Azure website with its current theme. and would like to add an online event registeration (Event ticketing) module with payment gateways. Event Registration Module & eCommerce should have same word press theme with the below features: - Calendar of all events; - Map to show event location. - Service or Product Catalog and Classification - Custom booking form for class registration with customized fields per course (See [login to view URL]). - In the booking form some customized fields are repeated per ticket such student name (See [login to view URL]). - Promotional codes options - Discount engine (i.e. discount based on number of tickets purchased in one order) - Custom field for NSW Voucher validation and deduction. - Export feature for all booking and attendees details to excel or csv. - Payment gateway via credit cards, paypal and bank transfer and [login to view URL] and stripe. - Profile registration and retrieval for parent login and his kids records (if possible). - Mobile friendly interface - Responsive or if it has a ready made mobile app. - SMS and email confirmation after order complication each event. - Feature to send email to all registerers at one hit (See Try booking). - Refund feature if possible. see trybooking features on [login to view URL]",Azure,High
47,I need some one who have good knowledge into Magento 1.9 with customise skills using Hudson.,Hudson,High
48,I am lookinf for person who know Jenkins,Jenkins,High
49,I need devloper for website app,Appium,Low
50,I need automation testion using Selenium,Selenium,High
51,The project is in the trading and we need someone to do admin. The design is ready.,Gradle,Low
52,The project is in the MySQL and we need someone to do admin. The design is ready.,MySQL,High
53,The project is in the trading sphere and we need someone to do admin. The design is ready.,DynamoDB,Low
54,The project is in the PostreSQLand we need someone to do admin. The design is ready.,PostgreSQL,High
55,The project is in the trading sphere and we need someone to do admin. The design is ready.,Oracle,Low
56,I need some one who have good knowledge into AWS with customise skills using php.,FIrebase,Low
57,I need some one who have good knowledge into MongoDB with customise skills using python.,MongoDB,High
58,I need some one who have good knowledge into AWS with customise skills using php.,Redis,Low
59,My project is realated to Magento framework and develop a new website.,Magento,High
60,My project is realated to Wordpress framework and develop a new website.,Wordpress,High
61,I need a specialist in Shopify to do a few changes for me in my checkout and emails,Shopify,High
62,I need a specialist to do a few changes for me in my checkout and emails,Umbraco,Low
63,I need a specialist in Drupal to do a few changes for me in my checkout and emails,Drupal,High
